Player,#,Nation,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Ousmane Dembélé,10,fr FRA,28-059,90,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,,
Khvicha Kvaratskhelia,7,ge GEO,24-151,57,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,,
Bradley Barcola,29,fr FRA,22-314,33,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,,
Désiré Doué,14,fr FRA,20-040,72,0,0,0,0,2,1,0,0,0,2,0,2,0,0,0,,
Senny Mayulu,24,fr FRA,19-057,18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,
Fabián Ruiz Peña,8,es ESP,29-101,72,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,,
Warren Zaïre-Emery,33,fr FRA,19-127,18,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,,
João Neves,87,pt POR,20-289,84,0,0,0,0,1,1,0,1,1,3,0,0,1,1,0,,
Vitinha,17,pt POR,25-150,90,0,0,0,0,1,1,0,0,1,1,0,5,0,0,0,,
Nuno Mendes,25,pt POR,23-024,90,0,0,0,0,1,0,1,0,2,1,0,3,0,2,0,,
Lucas Beraldo,4,br BRA,21-231,90,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,
Marquinhos,5,br BRA,31-060,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
Achraf Hakimi,2,ma MAR,26-251,72,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,,
Gonçalo Ramos,9,pt POR,24-023,18,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,
Gianluigi Donnarumma,1,it ITA,26-138,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0